Prioridad,Cliente,MRR,Seguimiento,Disparador
Hoy,Bradescard,,Escribir para empujar la aprobacion de la oferta,Agendado escribirles martes o miercoles de la proxima semana
Hoy,Crediorbe,,Validar pagos en produccion,Estimado propio hacerlo el dia de hoy
Hoy,Servicredito,,Seguimiento a la muestra de resultados (presentacion lista),Presentacion entregada falta cerrar
Hoy,Kala,,Arrancar integracion tecnica y reunion de guiones,Objetivo arrancar la integracion este martes
Semana,Sistecredito,15000,Iniciar y cerrar integracion por API con su CRM,Sin empezar
Semana,Quipux,13000,Definir frecuencia de pagos y objetivos escalar 4000 a 6000 contactos medir SMS,Pendiente
Semana,Contactar Services,9165,Aprobacion de plantillas y metricas por segmento banco castigado colectora,Jueves
Semana,Epik,9064,Arreglar troncal y conseguir reunion con tecnologia caso Kielsa,Pendiente
Semana,Credismart,,Integracion tecnica en pruebas y acceso al backend,Cierre lunes 22
Semana,KrediYa,2596,Activar solicitud diaria de pagos,Pendiente
Semana,Alvia Tech,2238,Salir con cobros definir objetivos validar dashboard,Falta feedback Lineru
Semana,GroupCOS BPO,5000,Salir con cartera castigada Bancolombia,Pendiente
Semana,AVIVA,500,Resolver troncal reglas de remarcacion traer tipificaciones definir integracion,Pendiente
Semana,Promosumma,800,Salir con 2 agentes nuevos mora 31-60 codeudores recordatorios,Pendiente
